id,type,grdp,regpop,deaths,drink,hdrink,smoke,aged,divorce,medrate,gcomp,vehipc,accpv,dumppc,deathrate,pctmale,accpc
82,1,7944660.66666667,650621.333333333,2696.33333333333,61.2,18.1666666666667,23.0666666666667,11.0766666666667,2.4,8.84666666666667,99.8933333333333,0.373333333333333,7.7,0.56,421.833333333333,49.9733035566662,2.87556666666667
83,1,5031587,208016.333333333,679.666666666667,61.4666666666667,18.9333333333333,24.8333333333333,7.38666666666667,2.53333333333333,10.4166666666667,105.153333333333,0.406666666666667,8.23,0.906666666666667,329.366666666667,51.2559437995493,3.34383333333333
84,1,11050967,398594.333333333,1422.33333333333,63.2666666666667,20.2,25.2,7.58333333333333,2.93333333333333,10.65,110.333333333333,0.453333333333333,10.6866666666667,0.99,360.933333333333,52.4564126266587,4.84283333333333
85,1,6000080.66666667,286939,1013,64.8333333333333,15.9,21.6666666666667,9.56666666666667,1.76666666666667,8.83666666666667,98.9466666666667,0.34,7.01,0.69,355.133333333333,49.7352686818281,2.38103333333333
86,1,2912315,157661.666666667,632,63.4333333333333,18.1666666666667,20.5666666666667,10.3233333333333,1.73333333333333,12.6366666666667,99.8733333333333,0.366666666666667,8.56333333333333,0.896666666666667,402.533333333333,49.9683015523489,3.14153333333333
87,1,3635450.33333333,175570,757.666666666667,64.2333333333333,20.4333333333333,21.2666666666667,11.4266666666667,2.16666666666667,4.33,102.926666666667,0.396666666666667,9.41666666666667,2,466.8,50.7201893005831,3.7321
88,1,33360561,975966,3529,63.9,16.3666666666667,19.6,10.63,1.7,8.9,98.7666666666667,0.406666666666667,6.66,0.976666666666667,366.5,49.6897479346715,2.7093
89,1,13859931.3333333,421816.666666667,2132.66666666667,59.5333333333333,16.6,23.4333333333333,11.8866666666667,2.4,8.98666666666667,103.12,0.423333333333333,8.14666666666667,1.02,515.7,50.7680030765318,3.4411
90,1,10759440.6666667,206769.333333333,1068.66666666667,58.8,20.2333333333333,25.3333333333333,11.91,2.26666666666667,9.31,103.25,0.476666666666667,8.23333333333333,1.32,522.133333333333,50.7994229259833,3.92543333333333
91,1,6875034.66666667,181663.666666667,1142,60.9666666666667,21.2,23.6333333333333,14.21,2.53333333333333,12.9033333333333,104.156666666667,0.5,10.02,1.25666666666667,633.666666666667,51.0179892848077,5.00553333333333
92,1,7815985.33333333,351247.666666667,1358.33333333333,63.2666666666667,20.5,22.1666666666667,10.8333333333333,2.26666666666667,8.26333333333333,101.04,0.433333333333333,9.16333333333333,0.776666666666667,398.3,50.2586503177092,3.96723333333333
93,1,44953796.3333333,592759,2030.33333333333,62.5666666666667,18.0666666666667,22.5333333333333,8.33666666666667,2.23333333333333,7.94333333333333,106.8,0.483333333333333,7.44333333333333,0.766666666666667,355.033333333333,51.644084905386,3.5927
94,1,6888625.66666667,313053.333333333,1248,59.4333333333333,18.2,24.8666666666667,10.4766666666667,2.66666666666667,4.64,105.786666666667,0.483333333333333,7.69333333333333,0.916666666666667,410.033333333333,51.4059492936576,3.71936666666667
95,1,4961120.33333333,204256.333333333,1065.33333333333,58.6,21.3,23.6333333333333,12.6166666666667,2.76666666666667,11.31,103.096666666667,0.416666666666667,10.8933333333333,1.1,528.4,50.7623296293411,4.53043333333333
96,1,4809446.33333333,155251,1100.33333333333,58.8,18.9666666666667,28.1666666666667,15.3466666666667,3.13333333333333,12.69,110.25,0.556666666666667,9.50333333333333,2.08666666666667,714.933333333333,52.4374019160322,5.28323333333333
97,1,2828586,110994,848.666666666667,56.8666666666667,20.3333333333333,21.7666666666667,17.3233333333333,2.46666666666667,16.53,102.283333333333,0.556666666666667,8.56333333333333,1.36333333333333,772.633333333333,50.5643479456298,4.7671
98,2,1033566.66666667,45665,425.333333333333,56.7666666666667,24.1666666666667,25.1333333333333,21.96,2.5,7.68333333333333,109.113333333333,0.576666666666667,7.64333333333333,1.02,943.666666666667,52.1770334499134,4.39933333333333
99,2,1513770,61889.6666666667,557,60.3,24.5333333333333,24.5,21.43,2.6,19.2466666666667,105.06,0.44,13.1233333333333,1.49333333333333,913.766666666667,51.2337803618044,5.77706666666667
100,2,1825667.33333333,108354,924,60,22.2666666666667,22.9333333333333,20.8533333333333,2.2,11.25,102.143333333333,0.46,8.21,0.513333333333333,870.266666666667,50.5301510384927,3.78546666666667
101,1,6046332.66666667,278165,1754.33333333333,63.7666666666667,21.9333333333333,22.8333333333333,14.7566666666667,2.13333333333333,15.3166666666667,97.1633333333333,0.43,12.9533333333333,1.62333333333333,638.3,49.2806148515209,5.5666
102,1,7423374,332755.333333333,1849,64.1333333333333,21.4666666666667,25.1333333333333,12.34,2.53333333333333,14.78,98.8066666666667,0.443333333333333,14.4933333333333,0.753333333333333,563.333333333333,49.699863846484,6.42263333333333
103,1,4491211,214737.666666667,1545.66666666667,63.7333333333333,22.7333333333333,23.1333333333333,17.1733333333333,2.23333333333333,13.9366666666667,98.6533333333333,0.46,10.1366666666667,1.72333333333333,724.066666666667,49.6610488380877,4.652
104,1,2643334.33333333,93918,640.333333333333,59.1666666666667,20.2666666666667,22.5333333333333,15.7866666666667,2.3,15.8733333333333,102.356666666667,0.44,11.5033333333333,1.34333333333333,685.166666666667,50.5822964527815,5.0536
105,1,913807.333333333,47609.6666666667,361.666666666667,63.5666666666667,21.6333333333333,26.7,18.9066666666667,2.43333333333333,14.79,103.19,0.433333333333333,10.6533333333333,1.17666666666667,772.4,50.7849779067847,4.6172
106,1,1453025,82072.3333333333,577,60.4333333333333,21.8666666666667,26.4666666666667,15.23,2.5,11.7866666666667,97.0366666666667,0.41,14.04,1.99,707.166666666667,49.2480240889414,5.74613333333333
107,1,2443784,70917.3333333333,616,62.5,21.8,24.3,20.4,2.2,6.28,103.466666666667,0.413333333333333,12.2333333333333,1.71333333333333,870.666666666667,50.8512559493171,5.05403333333333
108,2,2141607.33333333,70287.6666666667,661,63.9333333333333,23.5666666666667,25.1333333333333,20.9033333333333,2.43333333333333,12.2733333333333,104.28,0.49,8.99,0.9,946.5,51.0475519524524,4.40336666666667
109,2,1500590.66666667,45713.6666666667,455.666666666667,60.2333333333333,21.7,25.7666666666667,24.2466666666667,2.26666666666667,5.20333333333333,103.276666666667,0.5,9.11666666666667,0.996666666666667,1008,50.8058929111445,4.57046666666667
