DATE	OPEN	HIGH	LOW	CLOSE	RETURN	DISCREPANCY	VOL_INST	VOL_IND	VOL_FOR
2010-06-24	11095	11300	11030	11225	1.35	-0.747686028	304795	-336852	12757
2010-06-25	11055	11160	10975	11060	-1.47	-0.468231277	-195888	166083	30305
2010-06-28	11140	11165	11010	11115	0.5	-0.37421292	89404	-73569	-45785
2010-06-29	11135	11240	10800	10810	-2.74	-0.543285752	-346782	406359	-71365
2010-06-30	10530	10640	10445	10590	-2.04	-0.53807119	-532107	437064	65377
2010-07-01	10440	10575	10140	10380	-1.98	-0.535841593	-133468	396457	-226569
2010-07-02	10400	10475	10200	10240	-1.35	-0.479138523	-132449	168062	-47253
2010-07-05	10260	10340	10180	10300	0.59	-0.353213996	-44290	94740	-51850
2010-07-06	10250	10435	9950	10375	0.73	-0.873175947	-681185	542511	124574
2010-07-07	10430	10435	10150	10260	-1.11	-0.647341639	-229003	243311	92
2010-07-08	10505	10650	10505	10630	3.61	-0.4898744	507812	-732310	237598
2010-07-09	10760	10980	10605	10965	3.15	-0.483289089	316250	-464843	145073
2010-07-12	11050	11065	10955	11050	0.78	-0.658351936	6109	-8707	2818
2010-07-13	11070	11345	11070	11155	0.95	-0.11085859	-137554	-238003	378107
2010-07-14	11370	11565	11355	11480	2.91	-0.321956607	499499	-608025	108576
